B-a-a-d Billy Gruff	2	2	3	Evil	Animal		
Baby Dragon	2	3	2	Neutral	Dragon	Flying	Flying
Baby Root	2	0	3	Good	Treant	Support: +3 Health	Support: +6 Health
Black Cat	2	1	1	Evil	Animal	Last Breath: Summon a 1/1 Cat.	Last Breath: Summon a 2/2 Cat.
Blind Mouse	2	2	2	Neutral	Animal	Find 3 Blind Mice to get a level 4 treasure instead of level 2.	
Cinder-Ella	2	2	2	Neutral	Royal Mage	Quest: Cast 4 spells.	Quest: Cast 4 spells.
Crafty	2	2	2	Neutral	Dwarf	+2/+2 for each Treasure you have.	+4/+4 for each Treasure you have.
Fanny	2	2	2	Neutral	Dwarf	Dwarf Support: +2/+2	Dwarf Support: +4/+4
Golden Chicken	2	2	2	Neutral	Animal	I sell for 2 Gold.	I sell for 4 Gold.
Happy Little Tree	2	1	1	Good	Treant	I gain +2 Health permanently each round.	I gain +4 Health permanently each round.
Humpty Dumpty	2	7	7	Good	Egg	When I die, I can't be put back together again.	When I die, I can't be put back together again.
Kitty Cutpurse	2	1	1	Evil	Animal	Slay: +1 Gold	Slay: +2 Gold
Labyrinth Minotaur	2	5	1	Evil	Monster	Your other Evil characters have +1 Attack.	Your other Evil characters have +2 Attack.
Lonely Prince	2	1	1	Good	Royal	When you buy another Royal, I transform into a 5/5 Frog Prince.	When you buy another Royal, I transform into a 10/10 Frog Prince.
Mad Mim	2	0	3	Evil	Mage	Support: +3 Attack	Support: +6 Attack
Polywoggle	2	1	1	Neutral	Animal	Slay: I transform into a character that is one level higher than your hero.	Slay: I transform into an Upgraded character that is one level higher than your hero.
Rainbow Unicorn	2	1	5	Good	Animal	Your other Good characters have +1 Health.	Your other Good characters have +2 Health.
Sherwood Sureshot	2	2	1	Good	Royal	Ranged	Ranged
Tiny	2	6	1	Neutral	Dwarf		
Wizard's Familiar	2	1	1	Neutral	Animal Mage	When you cast a spell, I gain +1/+1 permanently.	When you cast a spell, I gain +2/+2 permanently.
Brave Princess	3	5	3	Good	Royal	Quest: I Slay 3 enemies.	Quest: I Slay 3 enemies.
Darkwood Creeper	3	0	3	Evil	Treant	When one of your characters survives damage, give it +1 Attack permanently.	When one of your characters survives damage, give it +2 Attack permanently.
Dubly	3	2	2	Neutral	Dwarf	Double bonuses to my Attack and Health.	Triple bonuses to my Attack and Health.
Good Witch of the North	3	2	3	Good	Mage	Good Support: +2/+3	Good Support: +4/+6
Lucky	3	3	2	Neutral	Dwarf	Last Breath: Reduce the cost of a random character in your next shop by 2.	Last Breath: Reduce the cost of a random character in your next shop by 4.
Ogre Princess	3	4	2	Good	Royal Monster	Slay: Add a random character to your hand.	Slay: Add a random character of your level to your hand.
Princess Peep	3	1	1	Good	Royal	Last Breath: Summon three 1/1 Sheep.	Last Breath: Summon three 2/2 Sheep.
Princess Wight	3	2	4	Evil	Royal	Dwarves in your shop have +1/+1. Quest: Buy 7 Dwarves.  Dwarves in your shop have +2/+2.    Quest: Buy 7 Dwarves.
Prized Pig	3	3	6	Neutral	Animal	When I survive a brawl, +2 Gold.Last Breath: Give your opponent +1 Gold.	When I survive a brawl, +4 Gold. Last Breath: Give your opponent +2 Gold.
Queen of Hearts	3	1	3	Evil	Royal	When one of your Evil characters dies, I gain +2/+2 this brawl.	When one of your Evil characters dies, I gain +4/+4 this brawl.
Romeo	3	5	3	Good	Royal	Last Breath: If Juliet is dead, summon her and give her +7/+7 this brawl.	Last Breath: If Juliet is dead, summon her and give her +14/+14 this brawl.
Shadow Assassin	3	2	4	Evil	Monster	Ranged  When one of your characters triggers a Slay ability, I gain +1 Attack permanently.  Ranged When one of your characters triggers a Slay ability, I gain +2 Attack permanently.
Sleeping Princess	3	0	8	Good	Royal	I wake up when you cast a spell on me. (+8 Attack)	I wake up when you cast a spell on me. (+16 Attack)
Spell Weaver	3	1	3	Evil	Mage	Ranged  When you cast a spell, I gain +1 Attack permanently.	Ranged When you cast a spell, I gain +2 Attack permanently.
The White Stag	3	3	3	Good	Animal	When I attack, give the characters behind me +3/+3 this brawl.	When I attack, give the characters behind me +6/+6 this brawl.
Trojan Donkey	3	2	6	Good	Animal	When I survive damage, summon a random character.	When I survive damage, summon a random character of your level.
Vain-Pire	3	4	4	Evil	Monster	Slay: +1/+1 permanently.	Slay: +2/+2 permanently.
Water Wraith	3	3	3	Evil	Monster	When a character next to me dies, I get +1/+1 permanently.	When a character next to me dies, I get +2/+2 permanently.
Wicked Witch of the West	3	3	2	Evil	Mage	Evil Support: +3/+2	Evil Support: +6/+4
Wretched Mummy	3	2	1	Evil	Monster	Last Breath: Deal damage equal to my Attack to a random enemy.	Last Breath: Deal damage equal to double my Attack to a random enemy.
Bearded Vulture	4	3	3	Evil	Animal	When one of your Animals dies, I gain +3/+3 this brawl.	When one of your Animals dies, I gain +6/+6 this brawl.
Copycat	4	2	8	Neutral	Animal Mage	After I attack, trigger the Last Breath abilities of the characters behind me.	After I attack, trigger the Last Breath abilities of the characters behind me twice.
Court Wizard	4	4	2	Good	Mage	Ranged When one of your Royals is attacked and killed, I make a bonus attack.	Ranged When one of your Royals is attacked and killed, I make a bonus attack.
Fairy Godmother	4	4	4	Good	Fairy	When one of your Good characters dies, give your Good characters +2 Health this brawl.	When one of your Good characters dies, give your Good characters +4 Health this brawl.
